state,date_updated,new_cases
AK,2020-12-31,45802
AK,2021-12-31,106561
AK,2022-12-31,135760
AL,2020-12-31,356820
AL,2021-12-31,523487
AL,2022-12-31,693330
AR,2020-12-31,232343
AR,2021-12-31,335246
AR,2022-12-31,415415
AS,2020-12-31,0
AS,2021-12-31,11
AS,2022-12-31,8255
AZ,2020-12-31,512489
AZ,2021-12-31,855591
AZ,2022-12-31,1010254
CA,2020-12-31,2301287
CA,2021-12-31,3110853
CA,2022-12-31,6400774
CO,2020-12-31,339133
CO,2021-12-31,573784
CO,2022-12-31,819137
CT,2020-12-31,183663
CT,2021-12-31,318821
CT,2022-12-31,442581
DC,2020-12-31,28758
DC,2021-12-31,63287
DC,2022-12-31,81965
DE,2020-12-31,56842
DE,2021-12-31,116247
DE,2022-12-31,148900
FL,2020-12-31,1306123
FL,2021-12-31,2601625
FL,2022-12-31,3431066
FSM,2020-12-31,0
FSM,2021-12-31,7
FSM,2022-12-31,22062
GA,2020-12-31,654743
GA,2021-12-31,1137278
GA,2022-12-31,1193172
GU,2020-12-31,7308
GU,2021-12-31,12258
GU,2022-12-31,40360
HI,2020-12-31,21511
HI,2021-12-31,85527
HI,2022-12-31,252198
IA,2020-12-31,280064
IA,2021-12-31,292968
IA,2022-12-31,313379
ID,2020-12-31,139865
ID,2021-12-31,178593
ID,2022-12-31,193143
IL,2020-12-31,955381
IL,2021-12-31,1163781
IL,2022-12-31,1844034
IN,2020-12-31,505020
IN,2021-12-31,729899
IN,2022-12-31,767841
KS,2020-12-31,224074
KS,2021-12-31,295813
KS,2022-12-31,396869
KY,2020-12-31,264829
KY,2021-12-31,607648
KY,2022-12-31,795097
LA,2020-12-31,311230
LA,2021-12-31,504998
LA,2022-12-31,676488
MA,2020-12-31,367918
MA,2021-12-31,727907
MA,2022-12-31,1059061
MD,2020-12-31,273689
MD,2021-12-31,418572
MD,2022-12-31,622710
ME,2020-12-31,24201
ME,2021-12-31,121428
ME,2022-12-31,160355
MI,2020-12-31,528593
MI,2021-12-31,1181732
MI,2022-12-31,1278329
MN,2020-12-31,412377
MN,2021-12-31,602841
MN,2022-12-31,719423
MO,2020-12-31,435873
MO,2021-12-31,568222
MO,2022-12-31,727878
MP,2020-12-31,122
MP,2021-12-31,2963
MP,2022-12-31,10250
MS,2020-12-31,213055
MS,2021-12-31,325797
MS,2022-12-31,416293
MT,2020-12-31,81225
MT,2021-12-31,115835
MT,2022-12-31,125994
NC,2020-12-31,547822
NC,2021-12-31,1126398
NC,2022-12-31,1642594
ND,2020-12-31,92492
ND,2021-12-31,80115
ND,2022-12-31,107436
NE,2020-12-31,162644
NE,2021-12-31,173418
NE,2022-12-31,219033
NH,2020-12-31,43242
NH,2021-12-31,153414
NH,2022-12-31,170301
NJ,2020-12-31,523295
NJ,2021-12-31,972059
NJ,2022-12-31,1424370
NM,2020-12-31,141186
NM,2021-12-31,206645
NM,2022-12-31,310533
NV,2020-12-31,222595
NV,2021-12-31,258735
NV,2022-12-31,394785
NY,2020-12-31,963390
NY,2021-12-31,2367013
NY,2022-12-31,3215656
OH,2020-12-31,690748
OH,2021-12-31,1284975
OH,2022-12-31,1318798
OK,2020-12-31,287294
OK,2021-12-31,413504
OK,2022-12-31,543208
OR,2020-12-31,112260
OR,2021-12-31,306073
OR,2022-12-31,520970
PA,2020-12-31,640139
PA,2021-12-31,1354956
PA,2022-12-31,1421047
PR,2020-12-31,76291
PR,2021-12-31,167326
PR,2022-12-31,805821
PW,2020-12-31,0
PW,2021-12-31,12
PW,2022-12-31,5956
RI,2020-12-31,81845
RI,2021-12-31,127608
RI,2022-12-31,215472
RMI,2020-12-31,4
RMI,2021-12-31,0
RMI,2022-12-31,15540
SC,2020-12-31,303475
SC,2021-12-31,656720
SC,2022-12-31,809864
SD,2020-12-31,98721
SD,2021-12-31,79673
SD,2022-12-31,93462
TN,2020-12-31,576491
TN,2021-12-31,835202
TN,2022-12-31,1017237
TX,2020-12-31,1709416
TX,2021-12-31,2801819
TX,2022-12-31,3658918
UT,2020-12-31,273908
UT,2021-12-31,359514
UT,2022-12-31,440937
VA,2020-12-31,344344
VA,2021-12-31,743061
VA,2022-12-31,1111897
VI,2020-12-31,2031
VI,2021-12-31,6694
VI,2022-12-31,15039
VT,2020-12-31,7074
VT,2021-12-31,54435
VT,2022-12-31,86779
WA,2020-12-31,244804
WA,2021-12-31,604008
WA,2022-12-31,1034864
WI,2020-12-31,516226
WI,2021-12-31,587528
WI,2022-12-31,854536
WV,2020-12-31,84225
WV,2021-12-31,241289
WV,2022-12-31,298027
WY,2020-12-31,44125
WY,2021-12-31,71117
WY,2022-12-31,67605
